jp,tw,kw
ガード「帝国の思うようにさせるか！,Guard: Like hell we'll let things go the Empire's way!,"GUARD: Machine-riding,
	self-important swine!
	Take this!"
"ガード「帝国の魔導アーマー！？
	　とうとうこのナルシェにまで！","Guard: The Empire's Sorcerous Armor!?
	 They've gotten as far as Narshe!","GUARD: Imperial Magitek Armor?
  Not even Narshe's safe anymore!"
"ガード「ナルシェは、俺達ガードが
	　守る！！",Guard: We guards will protect Narshe!!,GUARD: Narshe's freedom depends on us!
ガード「よし！　はさみうちだっ！,Guard: All right! We've got them surrounded!!,"GUARD: We've got 'em trapped, now!"
ガード「炭坑の守りをかためろ！,Guard: Fortify the coal mine's defenses!,GUARD: We must defend the mines!
"「情報によれば、新たに掘った
	　炭坑から氷づけの幻獣が出てきた
	　らしい……
	　ということは、この奥か？",": According to intel, the icebound Genjuu
	 came from a newly dug coal mine...
	 Which would mean, in here?","WEDGE: According to our source, the frozen Esper was found in a new mine shaft.
	...Maybe this one..."
"不思議な光があふれている……
	セーブポイントの説明を聞きますか？
	　　はい
	　　いいえ","A mysterious light floods the area...
	Want an explanation of save points?
	  Yes
	  No","An eerie glow surrounds you.
	Want info about Save Points?
	   Yes
	   No"
"セーブポイントでは、「ねぶくろ」や
  「テント」と使って休むことや
  セーブすることができます。
  もし全滅しても、セーブしておけば
  自動的にその場所からゲームが
  再開されます。
  この時、ギルや宝箱からとった
  アイテムなどは、もとにもどって
  しまいますが、レベルと経験値は
  へりません。
  またワールドマップでは、どこでも
  セーブすることをできます。","At save points, you can save or use
	a Sleeping Bag or Tent to rest.
	If you've made a save, the game
	will automatically resume from that
	point even if you're wiped out.
	When that happens, gil, any items
	you took from chests, and so on
	are all reset, but your levels and
	experience points won't decrease.
	Also, when on the world map,
	you can save anywhere.","At Save Points you can use a ""Sleeping Bag"" or ""Tent"",
	and also save a game.
	If you should perish, you'll automatically be able to play from your last save.
	Though any GP, treasures, etc. you found will have to be found again, your Level
	and Exp. data will be retained.
	You can save a game anywhere on the world map."
"「俺がやる。
	　さがっていろ！",": I've got this.
	 Stand back!","VICKS: I'll handle this.
  Stand back!"
ガード「幻獣はわたさない！,Guard: We won't hand over the Genjuu!,GUARD: We won't hand over the Esper!!
ガード「ユミール！　行け！！,Guard: Ymir! Go!!,GUARD: Whelk! Get them!
"ビックス
  「まてよ！！
  こいつは……　思い出したぜ！","Biggs:
	Wait!!
	This beasty... I remember it!","VICKS:
  Hold it!
  Think back to our briefing......"
"ウェッジ
  「知ってるのか？","Wedge:
	You know about it?","WEDGE:
  What about it?!"
"ビックス
  「以前、雷を食う化け物の話を
  聞いたことがある……","Biggs:
	I've heard stories before about
	a monster that eats thunder...","VICKS:
  Do you recall hearing about a
  monster that eats lightning......"
"ウェッジ
  「カラに強力なでんりゅうを
  たくわえるとかいう……","Wedge:
	They say it stores up a powerful
	electric current in its shell...","WEDGE:
  ......and stores the energy in
  its shell!"
"ビックス
  「そうだ。
  カラに手をだすなよ、ウェッジ！","Biggs:
	Right.
	Don't lay a finger on the shell, Wedge!","VICKS:
  Right. So whatever you do,
  don't attack the shell!"
"ウェッジ
  「わかったぜ！","Wedge:
	Got it!","WEDGE:
  Alright already!"
グゴゴゴゴ……,Gurgle...,Gruuu......
「これが…　氷づけの幻獣？,: Is this... the icebound Genjuu?,This is the frozen Esper...
"ウェッジ
  「おい！なにか様子がへんだ？
  なにか不気味な……！","Wedge:
	Hey! Something doesn't seem right.
	There's some kind of creepy...!","WEDGE:
  Hey! What's the matter?
  Do you know something we don't......?"
"娘
  「……","Girl:
	......","GIRL:
  ......"
"氷づけになったモンスターは
  怪しげな光を放ちはじめた……","The icebound monster
	began emitting an eerie light...","The frozen creature began
  emitting an eerie light......"
"ウェッジ
  「な　なんだ　この光は！……
  うわわわわっー！！！","Wedge:
	Wh-what's with this light! ......
	Uwawawawaaaah!!!","WEDGE:
  Where's that light coming from?! Uwaaaaaaa!!!!"
"ビックス
  「な、なんだー！？
  ウェッジ、おい、どこへ消えて
  しまったんだ？
  あっ、か　からだが！！","Biggs:
	Wh-what the!?
	Wedge, hey, where'd
	you disappear to?
	Ah, m-my body!!","VICKS:
  Hey!
  Wedge......where are you?
  W......what's happening?!"
"娘
  「……　……　……","Girl:
	...... ...... ......","GIRL:
  ...... ...... ......"
「ここは…,: Where am I...?,GIRL: Where am I...?
"老人「ほう…
　あやつりの輪が外れたばかりだと
　いうのに…","Old Man: Oh...?
	 So soon after the manipulation
	 band came off you...
OLD MAN: Whoa!
  And I only just removed the crown!
","OLD MAN: Whoa!
  And I only just removed the crown!"
「頭が…いたい……,: My head... hurts...,GIRL: ...head...hurts...
"老人「無理をするな。
	　これは、あやつりの輪。
	　これをつけられればその者の思考は
	　止まり、人の意のままに動くように
	　なる。","Old Man: Don't push yourself too hard.
	 This is a manipulation band.
	 Having one of these on put you
	 halts your thoughts, leaving you
	 subject to the will of others.","OLD MAN: Easy! This is a Slave Crown. The others had complete control
	over you while you were wearing it."
"「何も思いだせない…
	老人「大丈夫。
	　時間がたてば記憶も戻るはずじゃ。
: I can't remember anything...
	Old Man: That's okay.
	 Your memory should return, in time.
GIRL: I can't remember a thing...
	OLD MAN: Don't worry.
	It'll all come back to you...in time, that is.
",": I can't remember anything...
	Old Man: That's okay.
	 Your memory should return, in time.
GIRL: I can't remember a thing...
	OLD MAN: Don't worry.
	It'll all come back to you...in time, that is.
","GIRL: I can't remember a thing...
	OLD MAN: Don't worry.
	It'll all come back to you...in time, that is.
"
「……,: ......,.........
"帝国にあやつられていた
  生まれながらに魔導の力を持つ
  謎の少女……","A mysterious girl
	born with the power of sorcery
	who was controlled by the Empire...","A mysterious young woman,
  controlled by the Empire, and
  born with the gift of magic......"
"「わたし…
	　名前は…{ティナ}…
	老人「ほう…
	　強い精神力を持っておる。",": I...
	 my name is... {Tina}...
	Old Man: Oh...?
	 Strong will you have there.","My name...
	...is...{TERRA}...
	OLD MAN: Impressive!
	I've never heard of anyone recovering this fast...!"
"「ここを開けろ！
	「魔導アーマーに乗っていた娘を
	　出せ！",": Open up!
	: Hand over the girl who was
	 riding Sorcerous Armor!","SOLDIER: Open up!
	Give us back the girl and the Empire's Magitek Armor!!"
"「ここを開けるんだ！
	「娘をだせ！
	「そいつは帝国の手先だぞ！！",": Open up!
	: Hand over the girl!
	: She's with the Empire!!","SOLDIER: Open this door!
	We want that girl!
	She's an officer of the Empire!"
"{ﾃｨﾅ}「帝国…？
　魔導アーマー…？","{Tina}: Empire...?
	 Sorcerous Armor...?","{TERRA}: Empire...?
  Magitek Armor...?"
"老人「とにかくここを出るんじゃ。
	　わしが説明してもやつらは
	　聞かんじゃろう。","Old Man: Get out of here for now.
	 I doubt they'll listen even if I
	 explain things to them.","OLD MAN: Look,
	I have to get you out of here!
	I don't have time to explain!"
老人「こっちじゃ！,Old Man: Over here!,OLD MAN: Over here!
"老人「裏の炭坑から逃げられるはず。
	　ここは、わしがくいとめる。
	　さあ、早く！","Old Man: You should be able to escape
	 the back way through the coal mines.
	 I'll stall them here. Now hurry!","OLD MAN: Make your way out through the mines!
	I'll keep these brutes occupied!"
「あそこにいるぞ！,: She's over there!,She's up there!
「いたぞ！,: Found her!,Got her!
"ｹﾌｶ「魔導の力を持つ娘か…
　ヒッヒッヒッ…
　この、あやつりの輪をつければ
　俺様の思うがままに動くのだあ！","Cefca: The girl with the power of sorcery...
	 Hee, hee, hee...
	 If I put this manipulation band on you,
	 you'll do whatever I please!","KEFKA: My sweet little magic
  user...! Uweee, he, he! With this Slave Crown I'll practically OWN you!!"
{ﾃｨﾅ}「いやーやめて！！,"{Tina}: No, stop it!!",{TERRA}: No! Get away from me!
"ケフカ
	「ヒッヒッヒッ　そうだ！
	全てを焼きはらうのだ！","Cefca:
	Hee, hee, hee, yes!
	Burn everything to ashes!","KEFKA:
	Uwee, hee, hee! Good!
	Burn up everything!"
"ｶﾞｽﾄﾗ「わがガストラ帝国は魔導の力を
　復活させた！
　選ばれた者のみが使うことのできる
　神聖な力だ…","Gastra: My Gastra Empire has
	 revived the power of sorcery!
	 It is a divine power that only
	 the chosen ones can use...","GESTAHL: We stand on the brink of a major breakthrough!
	In the days to come, we'll witness a total revival of magic!
	GESTAHL: It is our destiny, and ours alone, to take this
	mystic force and claim what is rightfully ours!"
"ｼﾄﾞ「ケッサクじゃ。
　魔導の力と機械の力を組み合わせた
　きゅうきょくのマシーンじゃ…","Cid: It's my masterpiece.
	 The ultimate machine, combining the
	 powers of sorcery and mechanics...","CID: This is my finest work.
  These Magitek converters combine the power of magic with machines..."
"ｶﾞｽﾄﾗ「いまこそ、わがゲストラ帝国が
　世界を支配する時！！","Gastra: Now is the time for my
	 Gastra Empire to rule the world!!
GESTAHL: With our new-found power, nothing can stand in our way!
","GESTAHL: With our new-found power, nothing can stand in our way!"
"「ウォー！！
「ガストラ皇帝バンザーイ！！",": Hurrah!!
	: Long live Emperor Gastra!!!","Hurrah!!
  Long live Emperor Gestahl!!!"
"老人「やっと来おったか。
　ところで、ドロボウからは
　足をあらったのか？","Old Man: You're finally here.
	 By the way, have you wiped
	 your feet clean of being a thief?","OLD MAN: Took you long enough!
  How goes the robbing and 
  plundering trade?"
"さすらいの旅人
  古代の秘宝を求めて世界をまたにかける
  トレジャーハンター","A wandering traveler.
	A treasure hunter who roams the world
	seeking an arcane treasure from ages past.","Treasure hunter and trail-worn
  traveller, searching the world
  over for relics of the past..."
"{ﾛｯｸ}「ど・ろ・ぼ・う？
	　俺を呼ぶならトレジャーハンターと
	　言ってくれ！
	老人「ハッハッハ！
	　同じようなもんじゃろうが！
	{ﾛｯｸ}「ちっちっ！
	　大ちがいだぜ！！","{Lock}: THIEF?
	 Say ""treasure hunter"" if you're
	 going to call me anything!
	Old Man: Ha, ha, ha!
	 It's practically the same thing!
	{Lock}: Tsk, tsk!
	 There's a huge difference!!","{LOCKE}: I PREFER the term treasure hunting!
	OLD MAN: Ha!
	Semantic nonsense!
	{LOCKE}: There's a HUGE difference!"
"{ﾛｯｸ}「ところで、この俺を
　	呼び出したのは？
	老人「フム。
	　実は、例の娘に会った。","{Lock}: Anyhow, what did
	 you call me here for?
	Old Man: Well.
	 As it happens, I met the girl.","{LOCKE}: Anyway, were you the one who sent for me?
	OLD MAN: Yeah.
	There's a girl I'd like you to meet."
"{ﾛｯｸ}「！？
　魔導の力を持つという娘のことか？","{Lock}: !? You mean the girl they
	 say has the power of sorcery?","{LOCKE}: ......!?
	This better not have anything to do with that Magitek-riding, imperial...witch!!!"
"老人「今は、この都市のガードに
	　追われている……
	この都市には、帝国に立ち向かうだけの
	力がある。だがその自治力の高さゆえに
	われわれの地下組織リターナーにも
	加わろうとしない…
	娘は、帝国にあやつられているだけだと
	いう、わしの説得も聞こうとしない…","Old Man: She's being pursued by
	 this city's guards right now...
	The city has strength enough to stand against
	the Empire. But they're fiercely independent
	and not about to join with our underground
	organization, the Returners, either...
	And they won't listen when I try telling them the
	girl was just being manipulated by the Empire...","OLD MAN: Imperial troops are pursuing her even as we speak.
	This town is no match for the Empire.
	Our independence can only be assured if we join forces with the Returners,
	an underground resistance movement.
	That girl wasn't responsible for her actions.
	We must get her to understand our dilemma!"
"{ﾛｯｸ}「わかった。
　その娘を助け出せばいいんだな。","{Lock}: Got it.
	 I'm supposed to help that girl out.","{LOCKE}: All right...
  I think we'd better help her..."
"老人「フム。
　ひとまずはフィガロ国王のところへ。","Old Man: Right.
	 Head to King Figaro to start with.","OLD MAN: Agreed.
  Make your way first to Figaro, and talk to the king."
ガード「いたぞ！！,Guard: Found her!!,GUARD: Now we gotcha!
"{ﾛｯｸ}「ちっ！
　おおぜい来やがった！","{Lock}: Damn!
	 There's so many of them!","{LOCKE}: Wonderful...
  There's a whole bunch of 'em..."
クポー…,Kupo...,Kupo...
"{ﾛｯｸ}「モーグリ…
　助けてくれるっていうのか？","{Lock}: Moogles...
	 You mean you'll help out?","{LOCKE}: Moogles...!
  Are you saying you want to
  help me?"
クポー！！！,Kupo!!!,Kupo!!!
"ﾓｰｸﾞﾘ「ボクたちで、都市のガード達
	　から{ティナ}を守ります。
	　説明を聞きますか？","Moogle: Use us to protect {Tina}
	 from the city guards.
	 Want an explanation?","MOOGLE: Use us to save {TERRA} from the guards!
	Need more information?"
"３つのパーティーに分かれて戦います。
	（Ｙ）ボタンを使って、パーティーを
	きりかえてください。
	{ティナ}のいるところまで
	攻めこまれたら、負けです。
	その前に、敵のガードリーダーを
	たおしてください。","You'll fight divided into three parties.
	Use the Y button to switch between parties.
	If you let them reach {Tina}, you lose.
	Beat the Guard Leader before then.","You'll fight using 3 different groups. Press the Y
	Button to switch between them.
	Your job is to defeat the commander of the guards before his
	men reach {TERRA}. Save her, or else..."
"{ﾛｯｸ}「モーグリたち…
　おんにきるぜ！","{Lock}: Moogles...
	 I owe you one!","{LOCKE}: Thanks, Moogles!
  We're in your debt!"
{ﾛｯｸ}「たしか、このスイッチで……,"{Lock}: As I recall, this switch...",{LOCKE}: I think this switch'll...
{ﾛｯｸ}「ん？　気がついたのか。,{Lock}: Hm? You've come to?,"{LOCKE}: Eh?
  You back with us now?!"
"{ﾃｨﾅ}「わたし……助かったの……？
	{ﾛｯｸ}「モーグリたちに
　感謝するんだな。","{Tina}: I'm... saved...?
	{Lock}: Thank the moogles.","{TERRA}: You...saved me?
	{LOCKE}: Save your thanks for the Moogles!"
"{ﾃｨﾅ}「うっ……
　はっきりと思い出せない。
　その前も……ずっと前の事も……","{Tina}: Urgh...
	 I can't remember very well.
	 Or before that... or long ago either...","{TERRA}: Uhh...I can't remember
  anything...past or present..."
{ﾛｯｸ}「記憶がないのか？！,{Lock}: Your memory's gone!?,{LOCKE}: You have amnesia?!
"{ﾃｨﾅ}「でも、時間がたてば
	　戻るって…
	{ﾛｯｸ}「記憶が……
	　安心しろ。俺が必ず守ってやる。
	　必ずだ！！
	{ﾃｨﾅ}「？？？
	{ﾛｯｸ}「記憶をなくした……
	　俺は……見すてたりしない……
	　必ず守ってやる！！","{Tina}: But it's supposed to
	 come back eventually...
	{Lock}: Memory...
	 Don't worry. I'll protect you for sure.
	 No matter what!!
	{Tina}: ???
	{Lock}: You lost your memory...
	 I... won't abandon you...
	 I'll protect you no matter what!!","{TERRA}: A man said my memory would come back...
	{LOCKE}: Give it time. You're safe with me! I give you my word!
	{TERRA}: ???
	{LOCKE}: I won't leave you until your memory returns!!
	By the way, this secret entrance might be useful some day.
	Don't forget about it!"
"ん……
	お　ま　え　ら？","Hm...?
	And who are you?","Eh?......
	Who might you be?"
"{ﾛｯｸ}「やばい。
　ひとまずここは南の砂漠にある
　フィガロに向かおう……","{Lock}: Too risky.
	 Let's head for Figaro in the
	 desert to the south for now...","{LOCKE}: This is the pits.
  We'd better hightail it
  southward, to Figaro."
"ここは初心者の家。
  機械が発達したとはいえ、町の外には
  まだまだ、われわれの知らない魔物が
  いる…
  ここは、そんな危険な世界を旅する人に
  アドバイスをするところ。","This is the Beginner's House.
	Regardless of the advance of machinery,
	outside the city are monsters that
	remain unknown to us even now...
	This is a place to advise the people
	who travel such a dangerous world.","This is a classroom for the
	beginner. Here we answer your
	questions about the world.
	Think of us as your advisors..."
"これは回復の泉から、くみあげた
  水です。ＨＰとＭＰが回復します。
  泉は、ところどころにあるから
  見のがさないように。","This is water drawn from a recovery
	spring. It recovers HP and MP.
	You can find such springs here and
	there, so try not to overlook them.","This is water from a recovery
  spring. It'll restore your HP and
  MP. Such springs are located
  throughout the world."
"こんなつぼにも宝が隠されてることが
	ある。","Treasures may also be hidden
	in jars like this one.","Valuables are often hidden in
  pots such as this one."
"傷ついたときにはポーションなんかで
  ＨＰを回復させるんだ。
  宿屋にとまれば全回復する。","When hurt, recover HP with
	a Potion or the like.
	You recover fully if you stay at an inn.","Use curative items to restore
  your HP. Staying at an Inn will
  revive your party in full."
"ほっほっほ！
  宝箱には中にモンスターがいることも
  あるから気をつけてね。","Ho, ho, ho!
	Treasure boxes may have monsters
	inside too, so be careful.","Ha!
  Sometimes monsters lurk inside
  of treasure chests!"
アクセサリーってしってるかい？,Know about accessories?,Heard about Relics?
"アクセサリーには、いろいろな
	能力（アビリティー）がついています。
	たとえば…
	ダッシューズ…２倍のスピードで歩ける
	ナイトのこころえ…戦闘中かばう
	りゅうきしのくつ…戦闘中「ジャンプ」
	ガントレット…剣を両手持ちできる
	メニューで装備すれば、その能力を
	身につけることができます。
	１人がつけられるアクセサリーは２つ
	までです。","Accessories have various abilities.
	For example...
	Dash Shoes... can walk at double speed.
	Knight's Expertise... protect others in battle.
	Wyrmknight's Boots... Jump in battle.
	Gauntlet... can hold swords two-handed.
	You can equip them in the menu
	to apply their abilities.
	Each member can put on up to
	two accessories.","Relics give your party members a variety of abilities.
	For example...
	Sprint Shoes double your speed.
	True Knight lets you shield others during battle.
	Dragoon Boots add the ""Jump"" command to your battle list.
	Gauntlet allows you to hold a sword with both hands.
	Use the Main Menu to equip up to 2 relics per person."
"（Ａ）ボタンで決定。
（Ｂ）ボタンでキャンセル
（Ｘ）ボタンでメニュー画面だっ！","(A) button to decide.
	(B) button to cancel.
	(X) button for the menu screen!","Choose with the A Button.
  Cancel a choice with the B
  Button. View the Main Menu
  with the X Button."
"店で買いものをするとき
  いろいろなマークがでます。
  （上向き三角）は、攻撃力などがアップ
  （下向き三角）はダウン
  （イコール）は同じ値になる
  （Ｅ）はすでに装備しているということ
  （キャラの下のマーク）は
  　今のパーティーにいるメンバーを
  　あらわしています。","When shopping in a store,
	various marks will appear.
	(Up triangle) means more attack power, etc.
	(Down triangle) means less.
	(Equal) means the same value.
	(E) means already equipped.
	(Marks below characters)
	 indicate the members in the current party.","When buying armor and weapons you'll see some symbols next to your characters:
	Triangles pointing up indicate increasing battle power.
	Triangles pointing down indicate decreasing battle power.
	""="" indicates no change in battle power.
	""E"" means the item is already equipped on that character.
	A symbol under a character means that person is now in your party."
チョコボの乗りかたを教えてやろう！,Let's teach you how to ride a chocobo!,Wanna know how to ride a chocobo?
"（上）か（Ａ）を押すと前に進む。
	（左右）で方向を決める。
	おりる時は（Ｂ）ボタン。
	おりてしまうと、チョコボは町に
	帰ってしまうから気をつけて。","Press (up) or (A) to move forward.
	Set course with (left) and (right).
	When you want to get off, use the (B) button.
	Be careful, since the chocobo will return
	to town once you've dismounted.","Press the A Button, or up on the Control Pad, to go forward.
	Steer with the Control Pad.
	Press the B Button to dismount. Careful! Once you get off, the bird'll return to its pen!"
"コンフィグで戦闘を「ウェイト」
  にすると…
  戦闘中、魔法やアイテムを
  選ぶウィンドウが出ている時、
  時間がとまる。　ゆっくり、魔法や
  アイテムをえらべるわけだ。","When you set battle to Wait
	under Config...
	During combat, when a window to
	select, say, magic or items, is open,
	time will stop. This means you can
	select magic or items at leisure.","If you select the ""Wait"" Battle Mode from the Config Menu...
	You can take all the time you need to select spells or items without being attacked."
ＬとＲを同時に押せば、逃げられる。,You can flee if you press L and R at the same time.,"Run away from some battles by
  pressing (and holding) both the
  L and R buttons."
"右下のメーターがいっぱいになると
  そのキャラのコマンド入力がまわって
  くる。
  ＸかＹでその人のコマンド入力をせずに
  次の人にとばすことができる。","When the bottom-right meter becomes full,
	that character's command input comes up.
	You can skip to the next character,
	without entering commands, with X or Y.","A full meter in the lower right means that character will be next to accept battle commands.
	Press the X or Y button to pass that character's battle opportunity to the next character."
"魔法で敵を選ぶ時に、ＬかＲをおせば
  敵全体に魔法をかけることができる。","If you press L or R when selecting foes with
	magic, you can cast the spell on all foes.","When selecting a spell, press the L or R Button to select multiple targets."
"コマンド入力する時に、（左）（右）で
  「チェンジ」と「ぼうぎょ」ができる。
  「ぼうぎょ」すれば、受けるダメージが
  半分だ。
  「ぼうぎょ」は次のコマンドを
  入力するまできいてる。","You can Change and Defend with
	(left) and (right) during command input.
	If you Defend, the damage
	you take is halved.
	Defend remains in effect until
	inputting the next command.","During a battle, press left or right on the control pad to select ""Row"" or ""Defense.""
	""Defense"" cuts received damage in half, and works until your next command input."
"はさみうちされるとダメージが大きいよ
  敵に後ろを見せてるとさらにだ。","Damage is greater when surrounded,
	moreso when showing the enemy your back.","Damage is more severe when
  caught in a pincer attack!
  Use care when running!"
"とびだす数字は
  白がダメージ、みどりが回復してるって
  ことなんだ。","When numbers pop up,
	white means damage and
	green means recovery.","White numerals appearing
  during combat are damage
  points. Green numerals are
  recovery points."
"後列にすると受けるダメージが半分。
  そのかわり攻撃力も半分。
  メニューで左をおして、キャラを選んで
  （Ａ）ボタンで変えられる。","The damage you take is halved in the back row.
	The tradeoff is your attack power is also halved.
	You can change in the menu by pressing left,
	selecting a character, and pressing the (A) button.","In the back row, damage and
  attack power are halved.
  Change rows using the Main
  Menu: press left on the Control
  Pad, then press the A button."
"自分のステータスによって
	色が変わるんだ。","Your color varies depending
	on your status.",Color changes indicate changes in status.
"　　　　　青…「リフレク」
	　　　　　魔法をはねかえす。　","Blue... Reflect.
	Rebounds magic.","Blue = Rflect
	Spells are reflected. "
"　　　　きいろ…「プロテス」
	　　　　　防ぎょ力アップ　","Yellow... Protect.
	Defense power up.","Yellow = ""Safe""
	Defense up! "
"　　　　みどりは「シェル」
	　　　　魔法防ぎょ力アップ　","Green is Shell.
	Magic defense up.","Green = ""Shell""
	Magic defense up! "
"　　　　　赤は「ヘイスト」
	　　　　　すばやさアップ　","Red is Haste.
	Agility up.","Red = ""Haste""
	Speed up! "
"　　　　　白は「スロウ」
	　　　　　スピードがダウン　","White is Slow.
	Speed down.","White = ""Slow""
	Speed way down! "
"　　　　ピンクは「ストップ」
	　　　　時間が止まっている　","Pink is Stop.
	Time stands still.","Pink = ""Stop""
	Time stops! "
"この部屋はちょっとむずかしいから
	なれてから聞いたほうがいいかも…
	最初は関係ないことが多いしね。
This room is rather difficult, so it may be
	better to grow acclimated before listening...
	For one thing, much of it is irrelevant at first.
Might want to go out and get
	some experience in the world
	before coming in here!
","This room is rather difficult, so it may be
	better to grow acclimated before listening...
	For one thing, much of it is irrelevant at first.","Might want to go out and get
	some experience in the world
	before coming in here!"
ステータスの説明を聞きますか？,Listen to an explanation of status?,Need status info?
"「とうめい」
  なぐり攻撃は、あたらない。
  魔法はどんなものでもあたってしまう。
  魔法があたるともとに戻る。
  「カッパ」
  必殺剣などのオリジナルコマンドと
  魔法が使えなくなる。
  「ゾンビ」　　はだの色が変わって
  ＨＰが０でも動いていたら「ゾンビ」
  敵、みかた関係なしに攻撃する。
  「せいすい」でしかなおせない。
  「こんらん」「すいみん」
  なぐられると、もとに戻る。","Transparent:
	Physical attacks won't hit.
	Magic will hit no matter what.
	Reverts to normal when magic hits.
	Kappa:
	Can't use magic or special commands
	like Deathblow Sword.
	Zombie: Altered skin tone and movement
	even at zero HP are signs of a zombie.
	Attacks friend and foe indiscriminately.
	Can't cure except with Holy Water.
	Confusion and Sleep:
	Revert to normal when struck.","""Clear""
	Enemy can't strike you, but you're an easy target for spells.
	You'll revert to normal if a spell hits you.
	""Imp""
	Lose use of spells and commands.
	""Zombie""
	HP drops to 0, and you attack party members. Use ""Revivify"" to reverse.
	For ""Muddled"" and ""Psyche""
	You'll revert to normal when struck by a weapon."
"アンデッド（ゆうれいとか）にケアル
  とかポーションを使えば
  ダメージを与えられる。","You can inflict damage on the
	undead (such as ghosts) by using
	things like Cure or Potions.",Use a curative spell or item on an undead creature for maximum damage.
"「リレイズ」
  戦闘不能になっても自動的に生き返る。
  「リジェネ」
  じょじょにＨＰが回復する。","Reraise:
	Revive automatically if incapacitated.
	Regen:
	HP gradually recovers.","""Life 3""
  Automatically brought back
  even if status is affected.
  ""Regen""
  HP gradually come back."
"３属性とは、炎、氷、雷のこと。
  それぞれファイア、ブリザド、
  サンダーに代表させる。","The prime traits mean Flame,
	Ice,
	and Thunder.
	These are exemplified
	by Fire, Blizzard, and Thunder.","3-way attack indicates a fire,
  ice, and lightning attack."
"相手の魔法をはね返す「リフレク」
  時間がたつとその効果は消える。
  また青魔法は、リフレクで
  はね返されないものがある。","Reflect rebounds the opponent's magic.
	Its effect expires after time passes.
	There's also Blue Magic, which cannot
	be rebounded using Reflect.","""Rflect"" spells will fade over
  time, and can't block certain
  magic attacks."
"「まふうけん」
  魔法を吸収して自分のＭＰにする。
  次のコマンドを入力するか、１回吸収
  するまできいている。
  「トランス」
  攻撃力がアップ。
  トランスできる時は、戦闘を
  するたびに増えていく
  「おどる」「あばれる」
  １回入力すると、戦闘が終わるまで
  ずっとやってる。","Magicseal Sword:
	Absorbs magic and converts it to your MP.
	Effective until the next command input or
	until it absorbs one time.
	Transform:
	Offensive ability up.
	The duration you can stay transformed
	increases with each battle you fight.
	Dance and Rage:
	Once input, you'll keep doing that
	until combat ends.","""Runic""
	Turns many magic attacks into MP! Can be used repeatedly.
	""Morph""
	Increases Attack and Magic power. Duration increases with battles fought.
	""Dance"" and ""Rage""
	Once selected, will continue until the battle is over."
"「ぶんしん」になると、攻撃が
  あたりにくくなる。","Use Decoy, and attacks will
	have a hard time hitting.","When multiple images of your characters flash on the screen, weapons won't touch you."
